time,o,h,l,c,volume
2020-01-30T20:45:03.437464111Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:45:08.566585420Z,1.103555,1.103555,1.103545,1.103545,
2020-01-30T20:45:13.615667365Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:45:18.711687128Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:45:23.062845265Z,1.103555,1.103555,1.10353,1.10353,
2020-01-30T20:45:29.109376767Z,1.10353,1.103545,1.10353,1.103535,
2020-01-30T20:45:33.972068174Z,1.103535,1.103545,1.103535,1.103545,
2020-01-30T20:45:42.139412294Z,1.103555,1.103565,1.103555,1.103555,
2020-01-30T20:45:47.148384781Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:45:52.352720909Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:45:56.398155766Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:46:02.488166402Z,1.103545,1.103555,1.103545,1.103555,
2020-01-30T20:46:07.508193235Z,1.103555,1.103555,1.103545,1.103545,
2020-01-30T20:46:12.351195493Z,1.103545,1.103555,1.103545,1.103555,
2020-01-30T20:46:18.370822428Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:46:23.488051034Z,1.103555,1.103555,1.103545,1.103545,
2020-01-30T20:46:28.547027019Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:46:33.602894049Z,1.103545,1.103555,1.103545,1.103555,
2020-01-30T20:46:38.664699721Z,1.103555,1.103555,1.103545,1.103555,
2020-01-30T20:46:43.706866135Z,1.103555,1.103555,1.10354,1.10354,
2020-01-30T20:46:48.870727847Z,1.10354,1.103555,1.10354,1.103545,
2020-01-30T20:46:53.623182248Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:03.507883823Z,1.103545,1.103545,1.103535,1.103535,
2020-01-30T20:47:08.457951430Z,1.103545,1.103545,1.103535,1.103545,
2020-01-30T20:47:14.623996649Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:19.761263061Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:24.874101110Z,1.103555,1.103555,1.103545,1.103545,
2020-01-30T20:47:30.954895539Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:36.137543978Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:41.081981262Z,1.103545,1.103545,1.103545,1.103545,
2020-01-30T20:47:47.143943404Z,1.103545,1.103545,1.10353,1.10353,
2020-01-30T20:47:52.261683672Z,1.10353,1.10353,1.103475,1.103485,
